date,Open,High,Low,Close,Adj Close,Volume
2011-04-14,216.509995,220.470001,216.509995,219.179993,219.179993,0
2011-04-15,219.059998,220.250000,217.330002,218.710007,218.710007,0
2011-04-18,218.479996,219.259995,212.679993,216.720001,216.720001,0
2011-04-19,217.139999,220.550003,216.389999,220.470001,220.470001,0
2011-04-20,222.899994,226.479996,222.570007,222.779999,222.779999,0
2011-04-21,223.449997,226.360001,223.449997,225.789993,225.789993,0
2011-04-25,226.339996,226.830002,219.639999,220.139999,220.139999,0
2011-04-26,220.350006,220.350006,216.169998,218.039993,218.039993,0
2011-04-27,217.809998,222.509995,215.149994,222.020004,222.020004,0
2011-04-28,222.130005,224.990005,219.740005,220.389999,220.389999,0
2011-04-29,220.820007,223.289993,219.250000,222.220001,222.220001,0
2011-05-02,221.710007,221.830002,213.660004,215.399994,215.399994,0
2011-05-03,214.960007,215.619995,207.729996,210.050003,210.050003,0
2011-05-04,210.210007,210.529999,204.460007,208.750000,208.750000,0
2011-05-05,208.240005,208.240005,199.210007,201.580002,201.580002,0
2011-05-06,204.119995,207.360001,201.110001,202.190002,202.190002,0
2011-05-09,203.190002,206.740005,203.050003,206.529999,206.529999,0
2011-05-10,206.860001,207.570007,204.860001,205.630005,205.630005,0
2011-05-11,204.309998,204.630005,195.789993,197.119995,197.119995,0
2011-05-12,196.389999,199.179993,193.240005,196.589996,196.589996,0
2011-05-13,197.080002,199.119995,192.479996,195.259995,195.259995,0
2011-05-16,195.240005,199.270004,194.259995,195.360001,195.360001,0
2011-05-17,194.449997,197.009995,192.309998,196.389999,196.389999,0
2011-05-18,197.020004,200.050003,197.020004,198.630005,198.630005,0
2011-05-19,198.600006,200.050003,197.149994,198.539993,198.539993,0
2011-05-20,198.419998,201.550003,195.089996,199.289993,199.289993,0
2011-05-23,197.649994,200.710007,195.839996,197.539993,197.539993,0
2011-05-24,198.940002,203.309998,198.919998,202.630005,202.630005,0
2011-05-25,202.729996,206.330002,202.300003,205.039993,205.039993,0
2011-05-26,204.940002,206.380005,203.179993,205.460007,205.460007,0
2011-05-27,206.630005,209.139999,206.630005,208.470001,208.470001,0
2011-05-31,209.490005,210.970001,206.360001,208.779999,208.779999,0
2011-06-01,208.809998,209.050003,204.369995,204.630005,204.630005,0
2011-06-02,205.050003,206.740005,200.139999,203.220001,203.220001,0
2011-06-03,201.779999,204.929993,200.229996,203.270004,203.270004,0
2011-06-06,203.320007,204.500000,198.199997,199.029999,199.029999,0
2011-06-07,199.589996,201.229996,198.149994,198.339996,198.339996,0
2011-06-08,197.139999,197.300003,192.539993,194.110001,194.110001,0
2011-06-09,194.449997,198.600006,193.350006,197.190002,197.190002,0
2011-06-10,196.630005,196.630005,192.320007,193.729996,193.729996,0
2011-06-13,193.440002,194.880005,189.809998,191.470001,191.470001,0
2011-06-14,192.600006,195.919998,192.600006,194.639999,194.639999,0
2011-06-15,193.759995,196.610001,191.869995,193.619995,193.619995,0
2011-06-16,193.190002,193.750000,187.179993,189.490005,189.490005,0
2011-06-17,189.630005,192.529999,189.110001,190.119995,190.119995,0
2011-06-20,189.990005,192.139999,189.779999,190.419998,190.419998,0
2011-06-21,191.710007,197.059998,191.660004,196.740005,196.740005,0
2011-06-22,196.559998,201.119995,196.520004,198.259995,198.259995,0
2011-06-23,196.750000,196.750000,191.339996,196.470001,196.470001,0
2011-06-24,196.830002,196.880005,191.520004,191.889999,191.889999,0
2011-06-27,191.089996,192.889999,189.070007,192.169998,192.169998,0
2011-06-28,192.570007,195.550003,191.389999,195.320007,195.320007,0
2011-06-29,196.509995,201.529999,196.490005,199.440002,199.440002,0
2011-06-30,200.339996,201.679993,198.910004,201.130005,201.130005,0
2011-07-01,200.720001,200.729996,196.389999,199.449997,199.449997,0
2011-07-05,201.000000,205.460007,200.990005,204.429993,204.429993,0
2011-07-06,204.789993,206.960007,204.070007,206.059998,206.059998,0
2011-07-07,206.669998,210.429993,206.669998,208.130005,208.130005,0
2011-07-08,207.750000,209.570007,206.830002,207.809998,207.809998,0
2011-07-11,206.720001,208.529999,203.740005,204.630005,204.630005,0
2011-07-12,204.610001,211.820007,204.380005,210.190002,210.190002,0
2011-07-13,210.660004,218.380005,210.660004,215.850006,215.850006,0
2011-07-14,216.860001,218.289993,213.619995,214.279999,214.279999,0
2011-07-15,214.919998,217.139999,214.690002,216.949997,216.949997,0
2011-07-18,217.270004,220.869995,217.270004,219.470001,219.470001,0
2011-07-19,220.460007,220.820007,216.539993,217.839996,217.839996,0
2011-07-20,217.649994,219.770004,215.419998,219.059998,219.059998,0
2011-07-21,219.300003,221.110001,216.899994,217.929993,217.929993,0
2011-07-22,218.229996,221.029999,218.020004,220.360001,220.360001,0
2011-07-25,220.020004,222.759995,218.050003,218.470001,218.470001,0
